abi,kat,i.id0,i.name.en,i.vmvars,pass,s_1_1_1_1,s_1_1_1_3,s_1_1_1_5,s_1_1_1_10,s_1_1_2_1,s_1_1_2_3,s_1_1_2_5,s_1_1_2_10,s_1_1_3_1,s_1_1_3_3,s_1_1_3_5,s_1_1_3_10,s_1_1_5_1,s_1_1_5_3,s_1_1_5_5,s_1_1_5_10,s_1_2_1_1,s_1_2_1_3,s_1_2_1_5,s_1_2_1_10,s_1_2_2_1,s_1_2_2_3,s_1_2_2_5,s_1_2_2_10,s_1_2_3_1,s_1_2_3_3,s_1_2_3_5,s_1_2_3_10,s_1_2_5_1,s_1_2_5_3,s_1_2_5_5,s_1_2_5_10,s_1_3_1_1,s_1_3_1_3,s_1_3_1_5,s_1_3_1_10,s_1_3_2_1,s_1_3_2_3,s_1_3_2_5,s_1_3_2_10,s_1_3_3_1,s_1_3_3_3,s_1_3_3_5,s_1_3_3_10,s_1_3_5_1,s_1_3_5_3,s_1_3_5_5,s_1_3_5_10,s_1_5_1_1,s_1_5_1_3,s_1_5_1_5,s_1_5_1_10,s_1_5_2_1,s_1_5_2_3,s_1_5_2_5,s_1_5_2_10,s_1_5_3_1,s_1_5_3_3,s_1_5_3_5,s_1_5_3_10,s_1_5_5_1,s_1_5_5_3,s_1_5_5_5,s_1_5_5_10,s_2_1_1_1,s_2_1_1_3,s_2_1_1_5,s_2_1_1_10,s_2_1_2_1,s_2_1_2_3,s_2_1_2_5,s_2_1_2_10,s_2_1_3_1,s_2_1_3_3,s_2_1_3_5,s_2_1_3_10,s_2_1_5_1,s_2_1_5_3,s_2_1_5_5,s_2_1_5_10,s_2_2_1_1,s_2_2_1_3,s_2_2_1_5,s_2_2_1_10,s_2_2_2_1,s_2_2_2_3,s_2_2_2_5,s_2_2_2_10,s_2_2_3_1,s_2_2_3_3,s_2_2_3_5,s_2_2_3_10,s_2_2_5_1,s_2_2_5_3,s_2_2_5_5,s_2_2_5_10,s_2_3_1_1,s_2_3_1_3,s_2_3_1_5,s_2_3_1_10,s_2_3_2_1,s_2_3_2_3,s_2_3_2_5,s_2_3_2_10,s_2_3_3_1,s_2_3_3_3,s_2_3_3_5,s_2_3_3_10,s_2_3_5_1,s_2_3_5_3,s_2_3_5_5,s_2_3_5_10,s_2_5_1_1,s_2_5_1_3,s_2_5_1_5,s_2_5_1_10,s_2_5_2_1,s_2_5_2_3,s_2_5_2_5,s_2_5_2_10,s_2_5_3_1,s_2_5_3_3,s_2_5_3_5,s_2_5_3_10,s_2_5_5_1,s_2_5_5_3,s_2_5_5_5,s_2_5_5_10,s_3_1_1_1,s_3_1_1_3,s_3_1_1_5,s_3_1_1_10,s_3_1_2_1,s_3_1_2_3,s_3_1_2_5,s_3_1_2_10,s_3_1_3_1,s_3_1_3_3,s_3_1_3_5,s_3_1_3_10,s_3_1_5_1,s_3_1_5_3,s_3_1_5_5,s_3_1_5_10,s_3_2_1_1,s_3_2_1_3,s_3_2_1_5,s_3_2_1_10,s_3_2_2_1,s_3_2_2_3,s_3_2_2_5,s_3_2_2_10,s_3_2_3_1,s_3_2_3_3,s_3_2_3_5,s_3_2_3_10,s_3_2_5_1,s_3_2_5_3,s_3_2_5_5,s_3_2_5_10,s_3_3_1_1,s_3_3_1_3,s_3_3_1_5,s_3_3_1_10,s_3_3_2_1,s_3_3_2_3,s_3_3_2_5,s_3_3_2_10,s_3_3_3_1,s_3_3_3_3,s_3_3_3_5,s_3_3_3_10,s_3_3_5_1,s_3_3_5_3,s_3_3_5_5,s_3_3_5_10,s_3_5_1_1,s_3_5_1_3,s_3_5_1_5,s_3_5_1_10,s_3_5_2_1,s_3_5_2_3,s_3_5_2_5,s_3_5_2_10,s_3_5_3_1,s_3_5_3_3,s_3_5_3_5,s_3_5_3_10,s_3_5_5_1,s_3_5_5_3,s_3_5_5_5,s_3_5_5_10,s_5_1_1_1,s_5_1_1_3,s_5_1_1_5,s_5_1_1_10,s_5_1_2_1,s_5_1_2_3,s_5_1_2_5,s_5_1_2_10,s_5_1_3_1,s_5_1_3_3,s_5_1_3_5,s_5_1_3_10,s_5_1_5_1,s_5_1_5_3,s_5_1_5_5,s_5_1_5_10,s_5_2_1_1,s_5_2_1_3,s_5_2_1_5,s_5_2_1_10,s_5_2_2_1,s_5_2_2_3,s_5_2_2_5,s_5_2_2_10,s_5_2_3_1,s_5_2_3_3,s_5_2_3_5,s_5_2_3_10,s_5_2_5_1,s_5_2_5_3,s_5_2_5_5,s_5_2_5_10,s_5_3_1_1,s_5_3_1_3,s_5_3_1_5,s_5_3_1_10,s_5_3_2_1,s_5_3_2_3,s_5_3_2_5,s_5_3_2_10,s_5_3_3_1,s_5_3_3_3,s_5_3_3_5,s_5_3_3_10,s_5_3_5_1,s_5_3_5_3,s_5_3_5_5,s_5_3_5_10,s_5_5_1_1,s_5_5_1_3,s_5_5_1_5,s_5_5_1_10,s_5_5_2_1,s_5_5_2_3,s_5_5_2_5,s_5_5_2_10,s_5_5_3_1,s_5_5_3_3,s_5_5_3_5,s_5_5_3_10,s_5_5_5_1,s_5_5_5_3,s_5_5_5_5,s_5_5_5_10
pa0,C,P-TOT,Total phosphorus (Tot-P),P-TOT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,P-PO4,Phosphate,P-PO4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,N-TOT,Total nitrogen (Tot-N),N-TOT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,N-SNOX,Nitrate + nitrite,N-SNOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,"O2, O-METN",Oxygen,O2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,KLFA,Phytoplankton chlorophyll (Chla),"KLFA, KLFA-FLU",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,C,MPNEQR_E,Marine phytoplankton nEQR for eutrophication,KLFA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,R,PH,pH,PH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pa0,R,P-TOT,Total phosphorus (Tot-P),P-TOT,0.99609375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
pa0,R,N-TOT,Total nitrogen (Tot-N),N-TOT,0.99609375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
