et,lvl,gg,nn,nn_c2,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2,trs,trs_c2,srs,srs_c2,etl0.cc,etl0.fo,etl0.so,etl0.lm,cpl_ok.n,cpl0.n.a,cpl0.n.ai,cpl0.n.aqi,cpl0.n.d,cpl0.n.dn,cpl0.n.e,cpl0.n.n,cpl0.n.o,cpl0.n.q,cpl0.n.qo,cpl0.n.r,cpl0.n.s,cpl0.n.sq,cpl0.n.t,cpl0.n.tq,cpl0.n.xd,cpl0.n.xt,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,cpl0.e.a,cpl0.e.ai,cpl0.e.aqi,cpl0.e.d,cpl0.e.dn,cpl0.e.e,cpl0.e.n,cpl0.e.o,cpl0.e.q,cpl0.e.qo,cpl0.e.r,cpl0.e.s,cpl0.e.sq,cpl0.e.t,cpl0.e.tq,cpl0.e.xd,cpl0.e.xt,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.ai,cpl0.aqi,cpl0.d,cpl0.dn,cpl0.e,cpl0.n,cpl0.o,cpl0.q,cpl0.qo,cpl0.r,cpl0.s,cpl0.sq,cpl0.t,cpl0.tq,cpl0.xd,cpl0.xt,dir0.p,dir0.n,dir0.u,dir0.x,ect_s,id,et_label
all,all,all,88,64,3,0,64,24,49,20,14,0,1907,1907,1,1,2,3,10,70,3,2,64,7,1,0,3,0,2,1,4,0,1,0,0,0,3,0,2,0,"A2, B1a, B1b, B2, B3","MDir, NASA, NIBIO, NINA, NIVA, NTNU, NVE, Statens kartverk, Vann-nett, Vannmiljø","AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, Cpue_BrownTrout, Cpue_juveniles, Cyanomax, EIndexW3, EMANTLLE, FIBESTE, HBI2, HR2XSD, KLFA, LACI-1, LACI-2, LAL, LAMI, MSMDI, MultiClear, N-NH3, N-SNOX, N-TOT, NEFI, O2, P-PO4, P-TOT, PH, PIT, PPBIOMTOVO, PTI, QMIN, RAMI, RSL, Raddum-1, Raddum-2, SECCI, SIc, TIc, VANNSTVAR, WIc, WS-FBI, barriereeffekt, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, fj.16, fragmenteringsgrad, overall chemical status, overall ecol status, sk.01, sk.02, sk.03, sk.04, sk.05, sk.06, sk.07, sk.08, sk.09, sk.10, sk.11, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.52, vs.53, vs.64, vs.71, vs.72, vs.74",x,9,68,21,17,8,0,21,0,0,1,3,1,1,0,3,7,0,3,3,1,0,1,0,1,"A2, B1a, B2, B3, C1","!e.a1, !e.a2, !e.b1, !e.c1, !e.d1, !e.e1, !e.e2, !e.i1, e.a3, e.a4, e.a5, e.a6, e.b2, e.b3, e.b4, e.b5, e.b6, e.b7, e.b8, e.c2, e.c3, e.c4, e.c5, e.c6, e.c7, e.c8, e.e3, e.e4, e.e5, e.e6, e.e7, e.e8, e.f1, e.f2, e.f3, e.f4, e.f5, e.f6, e.f7, e.g1, e.g2, e.g3, e.h1, e.h2, e.h3, e.h4, e.h5, e.i1, e.i2, e.i3, e.j1, e.j2, e.j3, e.j4, e.j5, e.j6, e.j7, e.j8, e.j9, e.k1, e.k2, e.k3, e.k4, e.k5, e.k6, e.l1, e.l2, e.l3, e.l4, e.l5, e.m1, e.m2, e.m3, e.m4, e.m5, e.m6",x,165,85,7,1,1,6,1,3,1,7,7,1,3,3,1,3,1,2,1,70,37,22,0,"A2, B1a, B1b, B2, B3, C1","!e.a1, !e.a2, !e.b1, !e.c1, !e.d1, !e.e1, !e.e2, !e.i1, AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, Cpue_BrownTrout, Cpue_juveniles, Cyanomax, EIndexW3, EMANTLLE, FIBESTE, HBI2, HR2XSD, KLFA, LACI-1, LACI-2, LAL, LAMI, MSMDI, MultiClear, N-NH3, N-SNOX, N-TOT, NEFI, O2, P-PO4, P-TOT, PH, PIT, PPBIOMTOVO, PTI, QMIN, RAMI, RSL, Raddum-1, Raddum-2, SECCI, SIc, TIc, VANNSTVAR, WIc, WS-FBI, barriereeffekt, e.a3, e.a4, e.a5, e.a6, e.b2, e.b3, e.b4, e.b5, e.b6, e.b7, e.b8, e.c2, e.c3, e.c4, e.c5, e.c6, e.c7, e.c8, e.e3, e.e4, e.e5, e.e6, e.e7, e.e8, e.f1, e.f2, e.f3, e.f4, e.f5, e.f6, e.f7, e.g1, e.g2, e.g3, e.h1, e.h2, e.h3, e.h4, e.h5, e.i1, e.i2, e.i3, e.j1, e.j2, e.j3, e.j4, e.j5, e.j6, e.j7, e.j8, e.j9, e.k1, e.k2, e.k3, e.k4, e.k5, e.k6, e.l1, e.l2, e.l3, e.l4, e.l5, e.m1, e.m2, e.m3, e.m4, e.m5, e.m6, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, fj.16, fragmenteringsgrad, overall chemical status, overall ecol status, sk.01, sk.02, sk.03, sk.04, sk.05, sk.06, sk.07, sk.08, sk.09, sk.10, sk.11, sk.12, sk.13, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.16, vs.17, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.52, vs.53, vs.64, vs.71, vs.72, vs.74",all: All ecosystem types
all,cls,A1,8,4,3,0,6,2,4,3,1,0,1966,2019,1,1,8,8,1,7,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"A2, B1a, B3","MDir, NIVA, NVE, Vannmiljø","HR2XSD, QMIN, SECCI, VANNSTVAR, WIc, fj.15, fj.16, sk.03, vs.30",x,2,11,1,5,3,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,"A2, C1","!e.a2, !e.i1, e.a3, e.b3, e.e3, e.f1, e.g1, e.h1, e.h2, e.i1, e.j1, e.l1, e.m1",x,21,8,0,0,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,5,8,4,0,"A2, B1a, B3, C1","!e.a2, !e.i1, HR2XSD, QMIN, SECCI, VANNSTVAR, WIc, e.a3, e.b3, e.e3, e.f1, e.g1, e.h1, e.h2, e.i1, e.j1, e.l1, e.m1, fj.15, fj.16, sk.03, vs.30",all: All ecosystem types
all,cls,A2,32,25,3,0,31,1,18,10,3,0,2019,2019,1,1,8,8,0,32,0,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B1a,"MDir, NINA, NIVA, Vann-nett, Vannmiljø","AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, LACI-1, LACI-2, LAL, LAMI, MultiClear, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PH, PIT, PTI, RAMI, RSL, Raddum-1, Raddum-2, SIc, TIc, fj.13, overall chemical status, sk.02, vs.03, vs.41, vs.41b",x,2,15,3,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,A2,"!e.b1, !e.c1, e.a4, e.b2, e.e4, e.f2, e.h3, e.h4, e.j3, e.j4, e.j6, e.k1, e.k2, e.k3, e.l2, e.l3, e.m2",x,49,30,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,21,14,3,0,"A2, B1a","!e.b1, !e.c1, AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, LACI-1, LACI-2, LAL, LAMI, MultiClear, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PH, PIT, PTI, RAMI, RSL, Raddum-1, Raddum-2, SIc, TIc, e.a4, e.b2, e.e4, e.f2, e.h3, e.h4, e.j3, e.j4, e.j6, e.k1, e.k2, e.k3, e.l2, e.l3, e.m2, fj.13, overall chemical status, sk.02, vs.03, vs.41, vs.41b",all: All ecosystem types
all,cls,B1a,17,15,3,0,5,12,14,0,2,0,1990,1990,1,1,7,7,9,8,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"B2, B3","MDir, NIBIO, NINA, Vannmiljø","Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, WS-FBI, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.05, sk.06, sk.10, sk.11, vs.29, vs.48",p,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,"e.g2, e.m4",n,19,16,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,14,2,2,0,"B2, B3","Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, WS-FBI, e.g2, e.m4, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, sk.04, sk.05, sk.06, sk.10, sk.11, vs.29, vs.48",all: All ecosystem types
all,cls,B1b,8,3,3,0,7,1,6,1,0,0,1990,2020,1,5,8,8,0,6,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,"B2, B3","MDir, NINA, Vannmiljø","FIBESTE, NEFI, fj.12, sk.12, vs.06, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",p,2,12,7,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,,"!e.d1, e.c4, e.e5, e.f3, e.h5, e.i2, e.i3, e.j8, e.j9, e.k5, e.k6, e.l5, e.m3",x,22,3,1,0,1,0,0,0,0,2,5,0,1,0,0,2,0,0,0,13,1,0,0,"B2, B3","!e.d1, FIBESTE, NEFI, e.c4, e.e5, e.f3, e.h5, e.i2, e.i3, e.j8, e.j9, e.k5, e.k6, e.l5, e.m3, fj.12, sk.12, vs.06, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",all: All ecosystem types
all,cls,B2,8,6,3,0,4,4,3,3,2,0,2000,2000,1,1,2,3,0,5,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"B1a, B1b, B3","NASA, NIBIO, NINA, NIVA, Vannmiljø","KLFA, MSMDI, PPBIOMTOVO, fj.01, sk.01, sk.07, sk.08, vs.05, vs.28",x,3,7,3,1,2,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"B3, C1","!e.a1, !e.e1, !e.e2, e.a5, e.e6, e.f4, e.g3, e.j5, e.k4, e.l4",x,18,9,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,6,4,4,0,"B1a, B1b, B3, C1","!e.a1, !e.e1, !e.e2, KLFA, MSMDI, PPBIOMTOVO, e.a5, e.e6, e.f4, e.g3, e.j5, e.k4, e.l4, fj.01, sk.01, sk.07, sk.08, vs.05, vs.28",all: All ecosystem types
all,cls,B3,10,8,3,0,8,2,3,1,5,0,1907,1907,1,1,7,7,0,9,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","MDir, NIBIO, NINA, NIVA, NTNU, Vannmiljø","Cyanomax, fj.14, sk.09, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.53, vs.64, vs.71, vs.72, vs.74",x,0,8,3,2,2,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"B1a, C1","e.a6, e.b5, e.b6, e.c5, e.c6, e.f5, e.m5, e.m6",x,18,11,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,6,3,7,0,"B1a, B2, C1","Cyanomax, e.a6, e.b5, e.b6, e.c5, e.c6, e.f5, e.m5, e.m6, fj.14, sk.09, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.53, vs.64, vs.71, vs.72, vs.74",all: All ecosystem types
all,cls,C1,4,3,3,0,2,2,1,2,1,0,1988,1988,1,1,8,8,0,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,"MDir, Statens kartverk, Vannmiljø","barriereeffekt, fj.10, fj.11, fragmenteringsgrad, sk.13, vs.02",x,0,9,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,"e.b7, e.b8, e.c7, e.c8, e.e7, e.e8, e.f6, e.f7, e.j7",x,13,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,0,B2,"barriereeffekt, e.b7, e.b8, e.c7, e.c8, e.e7, e.e8, e.f6, e.f7, e.j7, fj.10, fj.11, fragmenteringsgrad, sk.13, vs.02",all: All ecosystem types
all,cls,X,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Vann-nett,overall ecol status,x,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,"e.b4, e.c2, e.c3, e.j2",x,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,,"e.b4, e.c2, e.c3, e.j2, overall ecol status",all: All ecosystem types
all,chr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"e.b4, e.c2",x,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,"e.b4, e.c2",all: All ecosystem types
