et,lvl,gg,nn,nn_c1,nn_p2,nn_p1p,nn_c2p,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2p,trs,trs_c2p,trs0.y1,trs0.y3,trs0.y5,trs0.y10,trs0.yInf,trs0.NA,srs,srs_c2p,srs0.g1,srs0.g2,srs0.g3,srs0.g4,srs0.g5,srs0.g6,srs0.p1,srs0.p2,srs0.pp,srs0.px,srs0.NA,etl0.cc,etl0.fo,etl0.so,etl0.lm,etl0.na,cpl_ok.n,cpl0.n.a,cpl0.n.d,cpl0.n.e,cpl0.n.i,cpl0.n.n,cpl0.n.o,cpl0.n.q,cpl0.n.r,cpl0.n.s,cpl0.n.t,cpl0.n.x,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,cpl0.e.a,cpl0.e.d,cpl0.e.e,cpl0.e.i,cpl0.e.n,cpl0.e.o,cpl0.e.q,cpl0.e.r,cpl0.e.s,cpl0.e.t,cpl0.e.x,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.d,cpl0.e,cpl0.i,cpl0.n,cpl0.o,cpl0.q,cpl0.r,cpl0.s,cpl0.t,cpl0.x,dir0.p,dir0.n,dir0.u,dir0.x,dir_d,ect_s,iid
all,all,all,111,111,92,82,67,3,19,67,25,67,25,18,0,1907,1907,1,1,92,3,11,2,3,0,g2,g2,0,4,2,0,0,0,11,44,47,3,0,15,82,9,4,1,82,8,3,5,0,1,4,1,2,0,3,2,"A1, A2, B1a, B1b, B2, B3, C1","BirdLife Norge, Copernicus, DSB, Ldir, MDir, MDir/NIBIO, Mdir, Mdir/NINA, NASA, NIBIO, NINA, NIVA, NTNU, NVE, Statens kartverk/NIBIO, Vann-nett, Vannmiljø","AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, Cpue_BrownTrout, Cpue_juveniles, Cyanomax, EIndexW3, EMANTLLE, FIBESTE, HBI2, HR2XSD, KLFA, LACI-1, LACI-2, LAL, LAMI, MSMDI, MultiClear, N-NH3, N-SNOX, N-TOT, NEFI, O2, P-PO4, P-TOT, PH, PIT, PPBIOMTOVO, PTI, QMIN, RAMI, RSL, Raddum-1, Raddum-2, SECCI, SIc, TIc, VANNSTVAR, WIc, WS-FBI, barriereeffekt, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, fj.16, fragmenteringsgrad, nb.01, nb.02, nb.03, nb.04, nb.05, nb.06, nb.07, nb.08, nb.09, nb.10, nb.11, nb.12, nb.13, nb.14, nb.15, nb.16, nb.17, nb.18, nb.19, overall chemical status, overall ecol status, sk.01, sk.02, sk.03, sk.04, sk.05, sk.06, sk.07, sk.08, sk.09, sk.10, sk.11, sk.12, sk.13, ur.01, ur.02, ur.03, ur.04, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.13, vs.16, vs.17, vs.18, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.64, vs.71, vs.72, vs.74",x,9,148,85,52,20,0,65,0,0,0,0,0,0,0,0,0,0,0,"A1, A2, B1, B1a, B1b, B2, B3, C1, X","!e.01.1, !e.01.2, !e.02.1, !e.02.2, !e.03.1, !e.03.2, !e.04.1, !e.04.2, !e.11.1, e.01.3, e.01.4, e.01.5, e.01.6, e.01.7, e.02.3, e.02.4, e.02.5, e.02.6, e.02.7, e.02.8, e.03.3, e.03.4, e.03.5, e.03.6, e.03.7, e.03.8, e.04.10, e.04.3, e.04.4, e.04.5, e.04.6, e.04.7, e.04.8, e.04.9, e.05.1, e.05.2, e.05.3, e.05.4, e.05.5, e.05.6, e.05.7, e.06.1, e.06.2, e.06.3, e.07.1, e.07.2, e.08.1, e.08.2, e.08.3, e.08.4, e.08.5, e.08.6, e.08.7, e.08.8, e.09.1, e.09.2, e.09.3, e.09.4, e.09.5, e.09.6, e.09.7, e.10.1, e.10.2, e.10.3, e.10.4, e.11.2, e.11.3, e.11.4, e.11.5, e.12.1, e.12.2, e.12.3, e.12.4, e.12.5, e.12.6, e.12.7, e.a6, e.b8, e.c7, e.h1, e.j1",x,268,147,8,3,5,0,1,4,1,2,0,3,2,152,77,38,0,p,"A1, A2, B1, B1a, B1b, B2, B3, C1, X","!e.01.1, !e.01.2, !e.02.1, !e.02.2, !e.03.1, !e.03.2, !e.04.1, !e.04.2, !e.11.1, AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, Cpue_BrownTrout, Cpue_juveniles, Cyanomax, EIndexW3, EMANTLLE, FIBESTE, HBI2, HR2XSD, KLFA, LACI-1, LACI-2, LAL, LAMI, MSMDI, MultiClear, N-NH3, N-SNOX, N-TOT, NEFI, O2, P-PO4, P-TOT, PH, PIT, PPBIOMTOVO, PTI, QMIN, RAMI, RSL, Raddum-1, Raddum-2, SECCI, SIc, TIc, VANNSTVAR, WIc, WS-FBI, barriereeffekt, e.01.3, e.01.4, e.01.5, e.01.6, e.01.7, e.02.3, e.02.4, e.02.5, e.02.6, e.02.7, e.02.8, e.03.3, e.03.4, e.03.5, e.03.6, e.03.7, e.03.8, e.04.10, e.04.3, e.04.4, e.04.5, e.04.6, e.04.7, e.04.8, e.04.9, e.05.1, e.05.2, e.05.3, e.05.4, e.05.5, e.05.6, e.05.7, e.06.1, e.06.2, e.06.3, e.07.1, e.07.2, e.08.1, e.08.2, e.08.3, e.08.4, e.08.5, e.08.6, e.08.7, e.08.8, e.09.1, e.09.2, e.09.3, e.09.4, e.09.5, e.09.6, e.09.7, e.10.1, e.10.2, e.10.3, e.10.4, e.11.2, e.11.3, e.11.4, e.11.5, e.12.1, e.12.2, e.12.3, e.12.4, e.12.5, e.12.6, e.12.7, e.a6, e.b8, e.c7, e.h1, e.j1, fj.01, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, fj.10, fj.11, fj.12, fj.13, fj.14, fj.15, fj.16, fragmenteringsgrad, nb.01, nb.02, nb.03, nb.04, nb.05, nb.06, nb.07, nb.08, nb.09, nb.10, nb.11, nb.12, nb.13, nb.14, nb.15, nb.16, nb.17, nb.18, nb.19, overall chemical status, overall ecol status, sk.01, sk.02, sk.03, sk.04, sk.05, sk.06, sk.07, sk.08, sk.09, sk.10, sk.11, sk.12, sk.13, ur.01, ur.02, ur.03, ur.04, vs.02, vs.03, vs.04, vs.05, vs.06, vs.11, vs.13, vs.16, vs.17, vs.18, vs.28, vs.29, vs.30, vs.37, vs.38, vs.41, vs.41b, vs.41c, vs.41d, vs.45, vs.47, vs.48, vs.50, vs.64, vs.71, vs.72, vs.74"
all,cls,A1,9,9,9,4,4,3,0,6,3,4,4,1,0,1966,2019,1,1,7,1,0,0,1,0,g2,p2,0,1,0,0,0,0,0,2,5,1,0,1,7,1,0,0,4,0,1,2,0,1,0,0,0,0,0,1,"A2, B1a, B2, B3, C1","Copernicus, MDir, NIVA, NVE, Vannmiljø","HR2XSD, QMIN, SECCI, VANNSTVAR, WIc, fj.15, fj.16, sk.03, ur.01, vs.30",x,2,30,2,20,10,0,14,0,0,0,0,0,0,0,0,0,0,0,"A2, B3, C1, X","!e.01.2, !e.11.1, e.01.3, e.02.4, e.02.5, e.03.3, e.03.4, e.04.3, e.05.1, e.06.1, e.07.1, e.08.1, e.11.2, e.12.1, e.12.7, e.h1, e.j1",x,41,18,0,1,2,0,1,0,0,0,0,0,1,6,24,11,0,n,"A2, B1a, B2, B3, C1, X","!e.01.2, !e.11.1, HR2XSD, QMIN, SECCI, VANNSTVAR, WIc, e.01.3, e.02.4, e.02.5, e.03.3, e.03.4, e.04.3, e.05.1, e.06.1, e.07.1, e.08.1, e.11.2, e.12.1, e.12.7, e.h1, e.j1, fj.15, fj.16, sk.03, ur.01, vs.30"
all,cls,A2,35,35,33,28,26,3,2,32,1,19,12,4,0,2018,2018,1,1,35,0,0,0,0,0,p1,p1,0,0,0,0,0,0,1,5,29,0,0,0,34,1,0,0,28,6,0,0,0,0,0,0,0,0,0,1,B1a,"Copernicus, MDir, NIBIO, NINA, NIVA, Vann-nett, Vannmiljø","AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, LACI-1, LACI-2, LAL, LAMI, MultiClear, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PH, PIT, PTI, RAMI, RSL, Raddum-1, Raddum-2, SIc, TIc, fj.13, nb.12, nb.13, overall chemical status, sk.02, ur.04, vs.03, vs.41, vs.41b",x,2,32,18,16,0,0,24,0,0,0,0,0,0,0,0,0,0,0,"A2, B3, X","!e.02.1, !e.03.1, e.01.4, e.02.3, e.04.4, e.05.2, e.08.2, e.08.3, e.08.5, e.09.1, e.09.2, e.09.3, e.09.7, e.10.1, e.10.2, e.11.5, e.12.2",x,69,52,6,0,0,0,0,0,0,0,0,0,1,37,28,4,0,p,"A2, B1a, B3, X","!e.02.1, !e.03.1, AIP, AIndexW5, ANC, ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, LACI-1, LACI-2, LAL, LAMI, MultiClear, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PH, PIT, PTI, RAMI, RSL, Raddum-1, Raddum-2, SIc, TIc, e.01.4, e.02.3, e.04.4, e.05.2, e.08.2, e.08.3, e.08.5, e.09.1, e.09.2, e.09.3, e.09.7, e.10.1, e.10.2, e.11.5, e.12.2, fj.13, nb.12, nb.13, overall chemical status, sk.02, ur.04, vs.03, vs.41, vs.41b"
all,cls,ABC,2,2,2,0,0,3,0,1,1,2,0,0,0,1990,0,1,0,1,0,1,0,0,0,p2,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,B1b,"MDir, NINA, Vann-nett","fj.12, overall ecol status, sk.12, vs.06",p,0,12,10,2,0,0,0,4,0,0,0,0,0,8,0,0,0,0,"B1, B1b, C1","e.08.8, e.09.6, e.10.4, e.11.3, e.12.3, e.12.6",p,14,0,6,0,0,0,0,0,8,0,0,0,0,12,2,0,0,p,"B1, B1b, C1","e.08.8, e.09.6, e.10.4, e.11.3, e.12.3, e.12.6, fj.12, overall ecol status, sk.12, vs.06"
all,cls,B1a,23,23,19,21,17,3,4,7,12,19,1,2,0,1990,1990,1,1,20,0,3,0,0,0,p1,p1,0,0,0,0,0,0,2,15,4,2,0,13,10,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,"B1b, B2, B3","BirdLife Norge, MDir, Mdir, Mdir/NINA, NIBIO, NINA, Vannmiljø","Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, WS-FBI, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, nb.09, nb.10, nb.17, nb.18, sk.04, sk.05, sk.06, sk.10, sk.11, vs.13, vs.18, vs.29, vs.48",p,2,10,8,4,0,0,0,0,0,0,0,2,0,8,2,0,0,0,B1b,"!e.02.2, !e.03.2, e.03.5, e.04.10, e.06.2, e.12.4",p,35,21,0,0,0,0,2,2,8,2,0,0,0,27,5,2,0,p,"B1b, B2, B3","!e.02.2, !e.03.2, Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, WS-FBI, e.03.5, e.04.10, e.06.2, e.12.4, fj.02, fj.03, fj.04, fj.05, fj.06, fj.07, fj.08, fj.09, nb.09, nb.10, nb.17, nb.18, sk.04, sk.05, sk.06, sk.10, sk.11, vs.13, vs.18, vs.29, vs.48"
all,cls,B1b,6,6,6,2,2,2,0,6,0,5,1,0,0,2009,2020,1,5,4,0,2,0,0,0,p2,p2,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,"B2, B3","NINA, Vannmiljø","FIBESTE, NEFI, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50",p,0,12,12,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,,"e.04.5, e.05.3, e.07.2, e.08.7, e.09.5, e.11.4",p,18,2,0,0,0,0,0,2,8,4,0,2,0,17,1,0,0,p,"B2, B3","FIBESTE, NEFI, e.04.5, e.05.3, e.07.2, e.08.7, e.09.5, e.11.4, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50"
all,cls,B2,16,16,10,12,7,3,6,6,4,9,3,4,0,1990,2000,1,1,13,2,0,0,1,0,g2,g2,0,3,2,0,0,0,0,8,3,0,0,0,11,5,0,0,12,0,0,3,0,0,0,0,0,0,1,0,"A1, B1a, B1b, B3, C1","Copernicus, NASA, NIBIO, NINA, NIVA, Vannmiljø","KLFA, MSMDI, PPBIOMTOVO, fj.01, nb.01, nb.02, nb.03, nb.05, nb.07, nb.08, sk.01, sk.07, sk.08, ur.02, ur.03, vs.05, vs.28",x,3,17,8,6,6,0,8,0,0,0,0,0,0,0,0,0,0,0,"A1, B3, C1","!e.01.1, !e.04.1, !e.04.2, e.01.5, e.04.6, e.05.4, e.06.3, e.08.4, e.09.4, e.10.3",x,36,20,0,0,3,0,0,0,0,0,0,1,0,17,9,10,0,p,"A1, B1a, B1b, B3, C1","!e.01.1, !e.04.1, !e.04.2, KLFA, MSMDI, PPBIOMTOVO, e.01.5, e.04.6, e.05.4, e.06.3, e.08.4, e.09.4, e.10.3, fj.01, nb.01, nb.02, nb.03, nb.05, nb.07, nb.08, sk.01, sk.07, sk.08, ur.02, ur.03, vs.05, vs.28"
all,cls,B3,14,14,9,10,8,3,5,7,2,5,2,7,0,1907,1907,1,1,9,0,3,2,0,0,p1,p1,0,0,0,0,0,0,4,9,1,0,0,1,11,2,0,0,10,0,2,0,0,0,0,0,2,0,0,0,"B1a, B1b, B2","DSB, Ldir, MDir, Mdir/NINA, NIBIO, NINA, NIVA, NTNU, Vannmiljø","Cyanomax, fj.14, nb.04, nb.06, nb.11, nb.16, nb.19, sk.09, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.64, vs.71, vs.72, vs.74",x,0,15,9,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,"B1, B1a, B2, X","e.02.6, e.02.7, e.03.6, e.03.7, e.04.9, e.05.5, e.12.5, e.a6",x,29,13,0,2,0,0,0,0,0,2,0,0,0,14,4,11,0,p,"B1, B1a, B1b, B2, X","Cyanomax, e.02.6, e.02.7, e.03.6, e.03.7, e.04.9, e.05.5, e.12.5, e.a6, fj.14, nb.04, nb.06, nb.11, nb.16, nb.19, sk.09, vs.04, vs.11, vs.41c, vs.41d, vs.45, vs.64, vs.71, vs.72, vs.74"
all,cls,C1,6,6,4,5,3,3,2,2,2,4,2,0,0,1988,1988,1,1,3,0,2,0,1,0,p1,p1,0,0,0,0,0,0,4,0,2,0,0,0,2,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,,"MDir/NIBIO, NIBIO, Statens kartverk/NIBIO, Vannmiljø","barriereeffekt, fj.10, fj.11, fragmenteringsgrad, nb.14, nb.15, sk.13, vs.02",p,0,20,18,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,"A1, B2, B3, X","e.01.6, e.01.7, e.02.8, e.03.8, e.04.7, e.04.8, e.05.6, e.05.7, e.08.6, e.b8, e.c7",p,26,21,0,0,0,0,0,0,1,0,0,0,0,22,4,0,0,p,"A1, B2, B3, X","barriereeffekt, e.01.6, e.01.7, e.02.8, e.03.8, e.04.7, e.04.8, e.05.6, e.05.7, e.08.6, e.b8, e.c7, fj.10, fj.11, fragmenteringsgrad, nb.14, nb.15, sk.13, vs.02"
all,chr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,5,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,"B1a, B2","e.a6, e.b8, e.c7, e.h1, e.j1",x,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,x,"B1a, B2","e.a6, e.b8, e.c7, e.h1, e.j1"
