"ET.estat";"i.name.no";"Datakilde";"Dev.status";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"a: urban";"Normalisert årlig maksimal NDVI";"NASA*";"2";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"a: urban";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"c: grass";"Fravær av fremmede plantearter";"MDir";"p2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"c: grass";"Kongeørn";"MDir & NINA";"p2";"2010";"5";"fylke/region";"B1a";"fb, fg";"p";"??"
"c: grass";"Jerv";"MDir & NINA";"p2";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"c: grass";"Fjellrev";"MDir & NINA";"p2";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"c: grass";"Lirype";"NINA";"p2";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"c: grass";"Fjellrype";"MDir";"p1";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"c: grass";"Butterfly abundance and diversity";"NINA (Jens Åström)";"p2";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"c: grass";"Species richness of flying insects";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"c: grass";"Naturindeks (modifisert)";"MDir & NINA";"p1";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"c: grass";"Ellenberg F";"MDir";"p2";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"c: grass";"Ellenberg L";"MDir";"p2";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"c: grass";"Ellenberg R";"NINA (Joachim Töpper)";"p2";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"c: grass";"Vegetasjonens varmekrav";"MDir";"p2";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
"c: grass";"Ellenberg N";"MDir";"p2";"2019";"5";"fylke/region";"A2";"pr, af";"u";"mod"
"c: grass";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"p2";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"c: grass";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"p2";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"c: grass";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"p2";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"c: grass";"Total insektsbiomasse";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"c: grass";"Smågnagere";"MDir";"p2";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"c: grass";"Rein";"MDir & NINA";"p2";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"c: grass";"Store hjortedyr";"MDir & NINA";"p1";"1990";"5";"fylke/region";"B1a";"fb";"u";"mod"
"c: grass";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"p2";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"c: grass";"Antall arter av pollinerende insekter";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"c: grass";"Antall arter møkkbiller";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"c: grass";"Gjengroing";"NINA (Zander Venter)";"p2";"2010";;"~10 m";"B2";"fs";"n";"mdc"
"c: grass";"Normalisert årlig maksimal NDVI";"NASA*";"2";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"c: grass";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"c: grass";"Slitasje";"NINA (Anders Kolstad)";"p2";"2019";"5";"fylke/region";"B3";"pr";"p";"zer"
"c: grass";"Biomasse klovdyr";"NTNU (James Speed)";"p2";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"c: grass";"Biomasse rovdyr";"NTNU (James Speed)";"p2";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"c: grass";"Konnektivitet";"Statens kartverk*";"p1";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"c: grass";"Areal uten tekniske inngrep";"MDir*";"p3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"e: forest";"Fravær av fremmede plantearter";"MDir";"2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"e: forest";"Jerv";"MDir & NINA";"1";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"e: forest";"Fjellrev";"MDir & NINA";"p1";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"e: forest";"Species richness of flying insects";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"e: forest";"Naturindeks (modifisert)";"MDir & NINA";"2";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"e: forest";"Ellenberg F";"MDir";"2";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"e: forest";"Ellenberg L";"MDir";"1";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"e: forest";"Vegetasjonens varmekrav";"MDir";"1";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
