Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
NVE (Liss Marie Andreassen);p3;1966;;ingen (nasj);A1;af;p;sta
MDir;p2;2019;5;fylke/region;B1a;fs;p;zer
MDir & NINA;p2;2010;5;fylke/region;B1a;fb, fg;p;??
MDir & NINA;p2;1990;5;fylke/region;B1a;fb, fg;p;mod
MDir & NINA;p1;2010;1;kommune;B1a;fb, fg;p;sta (+mod)
MDir;p2;2010;1;fylke/region;B1a;fb, fg;p;exp
NINA (Jens Åström);p1;2009;1;fylke/region;B1b;bm;p;exp
MDir & NINA;p1;1990;5;fylke/region;B1b;bm;p;na
MDir;p1;2019;5;fylke/region;A1;af;u;mod
MDir;p1;2019;5;fylke/region;B3;af;u;mod
NINA (Joachim Töpper);p1;2019;5;fylke/region;A2;fg, bm;u;mod
MDir;p2;2019;5;fylke/region;A1;af;n;mod
MDir;p1;2019;5;fylke/region;A2;pr, af;u;mod
NINA (Joachim Töpper);p1;2019;5;fylke/region;A2;fg, bm;u;mod
NINA (Joachim Töpper);p1;2019;5;fylke/region;B3;fg, bm;u;mod
MDir;p1;1990;1;fylke/region;B1a;fb, fg, fs;p;mod
NINA (Jens Åström);p1;2009;1;fylke/region;B1b;bm;p;exp
NASA*;p1;2000;1;~100 m;B2;pr;u;mdc
NASA*;p1;2000;1;~100 m;B2;pr, fd;u;zer
NINA (Anders Kolstad);p2;2019;5;fylke/region;B3;pr;p;zer
NTNU (James Speed);p2;1999;10;kommune;B3;fb;u;mod
NTNU (James Speed);p2;1907;10;kommune;B3;fb;u;mod
Statens kartverk*;1;2021;;ingen (nasj);C1;lm;u;mod
MDir*;3;1988;5;fylke/region;C1;lm;p;zer
