i.name.no;Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
Areal av isbreer;NVE (Liss Marie Andreassen);p3;1966;;ingen (nasj);A1;af;p;sta
Fravær av fremmede plantearter;MDir;p2;2019;5;fylke/region;B1a;fs;p;zer
Kongeørn;MDir & NINA;p2;2010;5;fylke/region;B1a;fb, fg;p;??
Jerv;MDir & NINA;p2;1990;5;fylke/region;B1a;fb, fg;p;mod
Fjellrev;MDir & NINA;p1;2010;1;kommune;B1a;fb, fg;p;sta (+mod)
Fjellrype;MDir;p2;2010;1;fylke/region;B1a;fb, fg;p;exp
Butterfly abundance and diversity;NINA (Jens Åström);p1;2009;1;fylke/region;B1b;bm;p;exp
Naturindeks (modifisert);MDir & NINA;p1;1990;5;fylke/region;B1b;bm;p;na
Ellenberg F;MDir;p1;2019;5;fylke/region;A1;af;u;mod
Ellenberg L;MDir;p1;2019;5;fylke/region;B3;af;u;mod
Ellenberg R;NINA (Joachim Töpper);p1;2019;5;fylke/region;A2;fg, bm;u;mod
Vegetasjonens varmekrav;MDir;p2;2019;5;fylke/region;A1;af;n;mod
Ellenberg N;MDir;p1;2019;5;fylke/region;A2;pr, af;u;mod
Planteindikator på fosfor;NINA (Joachim Töpper);p1;2019;5;fylke/region;A2;fg, bm;u;mod
Planteindikator på jordforstyrrelse;NINA (Joachim Töpper);p1;2019;5;fylke/region;B3;fg, bm;u;mod
Smågnagere;MDir;p1;1990;1;fylke/region;B1a;fb, fg, fs;p;mod
Bumblebee abundance and species richness;NINA (Jens Åström);p1;2009;1;fylke/region;B1b;bm;p;exp
Normalisert årlig maksimal NDVI;NASA*;p1;2000;1;~100 m;B2;pr;u;mdc
NDVI flerårig trend;NASA*;p1;2000;1;~100 m;B2;pr, fd;u;zer
Slitasje;NINA (Anders Kolstad);p2;2019;5;fylke/region;B3;pr;p;zer
Biomasse klovdyr;NTNU (James Speed);p2;1999;10;kommune;B3;fb;u;mod
Biomasse rovdyr;NTNU (James Speed);p2;1907;10;kommune;B3;fb;u;mod
Konnektivitet;Statens kartverk*;1;2021;;ingen (nasj);C1;lm;u;mod
Areal uten tekniske inngrep;MDir*;3;1988;5;fylke/region;C1;lm;p;zer
