Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
Statens kartverk*;p1;2021;;ingen (nasj);C1;lm;u;mod
MDir*;p1;1988;5;fylke/region;C1;lm;p;zer
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A1;af;p;mdc
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;n;exp?, mdc?
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;p2;;1;annet;A2;af;p;exp
NIVA + Vannmiljø;p2;;1;annet;A2;bm;p;mdc
NIVA + Vannmiljø;p2;;1;annet;A2;fs?;p;mdc
NIVA + Vannmiljø;p2;;1;annet;A2;bm;p;mdc
NIVA (Birger Skjelbred) + Vannmiljø;p2;;1;annet;B2;pr;n;mdc
NIVA + Vannmiljø;p2;;1;annet;B2;??;p;mdc
Vann-nett;p2;;1;;A2;;;
Vann-nett;p2;;1;;X;;;
