Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
MDir;2;2019;5;fylke/region;B1a;fs;p;zer
MDir & NINA;1;1990;5;fylke/region;B1a;fb, fg;p;mod
MDir & NINA;p1;2010;1;kommune;B1a;fb, fg;p;sta (+mod)
NINA (Jens Åström);p2;2020;5;fylke/region;B1b;bm;p;??
MDir & NINA;2;1990;5;fylke/region;B1b;bm;p;na
MDir;2;2019;5;fylke/region;A1;af;u;mod
MDir;1;2019;5;fylke/region;B3;af;u;mod
MDir;1;2019;5;fylke/region;A1;af;n;mod
MDir;2;2019;5;fylke/region;A2;pr, af;u;mod
NIBIO;3;2010;5;fylke/region;B1a;fs;p;mdc
NIBIO;3;1994;5;fylke/region;B1a;fs;p;mdc
NINA (Jens Åström);p2;2020;5;fylke/region;B1a;fs;p;??
MDir & NINA;3;1990;5;fylke/region;B1a;fb;u;mod
MDir & NINA;3;1990;5;fylke/region;B1a;fb;p;mod
NINA (Jens Åström);p2;2020;5;fylke/region;B3;fs;p;??
NINA (Jens Åström);p2;2020;5;fylke/region;B1b;fs;p;??
NIBIO;3;2000;5;fylke/region;B3;fs, lm;p;mod
NIBIO;3;2010;5;fylke/region;B2;fs;p;mod
NIBIO;3;2010;5;fylke/region;B2;fs;p;mod
NASA*;3;2000;1;~100 m;B2;pr;u;mdc
NASA*;1;2000;1;~100 m;B2;pr, fd;u;zer
NTNU (James Speed);p2;1999;10;kommune;B3;fb;u;mod
NTNU (James Speed);p2;1907;10;kommune;B3;fb;u;mod
MDir*;3;1988;5;fylke/region;C1;lm;p;zer
