Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
Various institutes/consultancies + Vannmiljø;2;;1;annet;A1;af;p;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;exp?, mdc?
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;p;exp
NIVA + Vannmiljø;2;;1;annet;A2;bm;p;mdc
NIVA + Vannmiljø;2;;1;annet;A2;fs?;p;mdc
NIVA + Vannmiljø;2;;1;annet;A2;bm;p;mdc
NIVA (Birger Skjelbred) + Vannmiljø;2;;1;annet;B2;pr;n;mdc
NIVA + Vannmiljø;2;;1;annet;B2;??;p;mdc
Vann-nett;2;;1;;A2;;;
Vann-nett;2;;1;;X;;;
