Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
MDir*;1;1988;5;fylke/region;C1;lm;p;zer
Various institutes/consultancies + Vannmiljø;2;;1;annet;A1;af;p;exp
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;exp?, mdc?
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;p;exp
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;p;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;af;p;mdc
NIVA (Suzanne Schneider) + Vannmiljø;2;;1;annet;A2;bm;n;mdc
NIVA (Suzanne Schneider) + Vannmiljø;2;;1;annet;A2;bm;n;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;bm;p;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;bm;p;mdc
Various institutes/consultancies + Vannmiljø;2;;1;annet;A2;bm;p;mdc
NINA  + Vannmiljø;2;;1;annet;B1a;bm;??;exp
NIVA  + Vannmiljø;2;;1;annet;A2;bm;n;mdc
NINA  + Vannmiljø;2;;1;annet;B1b;bm;p;mdc
NINA  + Vannmiljø;2;;1;annet;B1b;bm;n;mdc
NINA  + Vannmiljø;2;;1;annet;B1a;bm;p;oth
Various institutes/consultancies + Vannmiljø;2;;1;annet;C1;lm;n;exp
Various institutes/consultancies + Vannmiljø;2;;1;annet;C1;lm;n;exp
Vann-nett;2;;1;;A2;;;
Vann-nett;2;;1;;X;;;
