i.name.no;Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
Fravær av fremmede plantearter;MDir;2;2019;5;fylke/region;B1a;fs;p;zer
Kongeørn;MDir & NINA;2;2010;5;fylke/region;B1a;fb, fg;p;??
Jerv;MDir & NINA;2;1990;5;fylke/region;B1a;fb, fg;p;mod
Fjellrev;MDir & NINA;2;2010;1;kommune;B1a;fb, fg;p;sta (+mod)
Lirype;NINA;2;2015;1;fylke/region;B1a;fb, fg;p;exp
Fjellrype;MDir;1;2010;1;fylke/region;B1a;fb, fg;p;exp
Butterfly abundance and diversity;NINA (Jens Åström);2;2009;1;fylke/region;B1b;bm;p;exp
Species richness of flying insects;NINA (Jens Åström);p2;2020;5;fylke/region;B1b;bm;p;??
Naturindeks (modifisert);MDir & NINA;1;1990;5;fylke/region;B1b;bm;p;na
Ellenberg F;MDir;2;2019;5;fylke/region;A1;af;u;mod
Ellenberg L;MDir;2;2019;5;fylke/region;B3;af;u;mod
Ellenberg R;NINA (Joachim Töpper);2;2019;5;fylke/region;A2;fg, bm;u;mod
Vegetasjonens varmekrav;MDir;2;2019;5;fylke/region;A1;af;n;mod
Ellenberg N;MDir;2;2019;5;fylke/region;A2;pr, af;u;mod
Planteindikator på fosfor;NINA (Joachim Töpper);2;2019;5;fylke/region;A2;fg, bm;u;mod
Planteindikator på beite/slått;NINA (Joachim Töpper);p2;2019;5;fylke/region;B3;fg, bm;u;mod
Planteindikator på jordforstyrrelse;NINA (Joachim Töpper);2;2019;5;fylke/region;B3;fg, bm;u;mod
Total insektsbiomasse;NINA (Jens Åström);p2;2020;5;fylke/region;B1a;fs;p;??
Smågnagere;MDir;2;1990;1;fylke/region;B1a;fb, fg, fs;p;mod
Rein;MDir & NINA;2;2017;1;ingen (nasj);B1a;fb, fg, fs;u;mod
Store hjortedyr;MDir & NINA;p1;1990;5;fylke/region;B1a;fb;u;mod
Bumblebee abundance and species richness;NINA (Jens Åström);2;2009;1;fylke/region;B1b;bm;p;exp
Antall arter av pollinerende insekter;NINA (Jens Åström);p2;2020;5;fylke/region;B3;fs;p;??
Antall arter møkkbiller;NINA (Jens Åström);p2;2020;5;fylke/region;B1b;fs;p;??
Gjengroing;NINA (Zander Venter);2;2010;;~10 m;B2;fs;n;mdc
Normalisert årlig maksimal NDVI;NASA*;2;2000;1;~100 m;B2;pr;u;mdc
NDVI flerårig trend;NASA*;1;2000;1;~100 m;B2;pr, fd;u;zer
Slitasje;NINA (Anders Kolstad);2;2019;5;fylke/region;B3;pr;p;zer
Biomasse klovdyr;NTNU (James Speed);2;1999;10;kommune;B3;fb;u;mod
Biomasse rovdyr;NTNU (James Speed);2;1907;10;kommune;B3;fb;u;mod
Konnektivitet;Statens kartverk*;1;2021;;ingen (nasj);C1;lm;u;mod
Areal uten tekniske inngrep;MDir*;3;1988;5;fylke/region;C1;lm;p;zer
