i.name.no;Datakilde;Dev.status;Startar;Frekvens (ar);Romlig opplosning;ECT;Egenskap;Samsvar m/tilstand;Ref.verdi
Fravær av fremmede plantearter;MDir;2;2019;5;fylke/region;B1a;fs;p;zer
Jerv;MDir & NINA;1;1990;5;fylke/region;B1a;fb, fg;p;mod
Lirype;NINA;1;2015;1;fylke/region;B1a;fb, fg;p;exp
Naturindeks (modifisert);MDir & NINA;2;1990;5;fylke/region;B1b;bm;p;na
Ellenberg F;MDir;2;2019;5;fylke/region;A1;af;u;mod
Ellenberg L;MDir;2;2019;5;fylke/region;B3;af;u;mod
Ellenberg R;NINA (Joachim Töpper);2;2019;5;fylke/region;A2;fg, bm;u;mod
Vegetasjonens varmekrav;MDir;1;2019;5;fylke/region;A1;af;n;mod
Ellenberg N;MDir;2;2019;5;fylke/region;A2;pr, af;u;mod
Rein;MDir & NINA;1;2017;1;ingen (nasj);B1a;fb, fg, fs;u;mod
Gjengroing;NINA (Zander Venter);2;2010;;~10 m;B2;fs;n;mdc
Normalisert årlig maksimal NDVI;NASA*;2;2000;1;~100 m;B2;pr;u;mdc
NDVI flerårig trend;NASA*;1;2000;1;~100 m;B2;pr, fd;u;zer
Slitasje;NINA (Anders Kolstad);2;2019;5;fylke/region;B3;pr;p;zer
Konnektivitet;Statens kartverk*;2;2021;;ingen (nasj);C1;lm;u;mod
Areal uten tekniske inngrep;MDir*;3;1988;5;fylke/region;C1;lm;p;zer
