"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"a: urban";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"a: urban";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"a: urban";"ur.01";"";"Copernicus*";"2006";"3";"~10 m";"A1";"af, lm";"n";"pol?"
"a: urban";"ur.02";"";"Copernicus*";"2018";"3";"~10 m";"B2";"fs, lm";"p";"pol?"
"a: urban";"ur.03";"";"Copernicus*";"2012";"3";"~10 m";"B2";"fs";"p";"pol?"
"a: urban";"ur.04";"";"Copernicus*";"2018";"1";"kommune";"A2";"af";"n";"pol?"
"b: crop";"vs.18";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"b: crop";"nb.12";"Organisk jordkarbon";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"p";"mod"
"b: crop";"nb.13";"C/N-forholdet i jord";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"u";"mod"
"b: crop";"nb.19";"Andel med økologisk drift";"Ldir";;"1";"kommune";"B3";"fs, lm";"p";"zer"
"c: grass";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"c: grass";"fj.08";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"c: grass";"fj.07";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"c: grass";"fj.06";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"c: grass";"fj.04";"Lirype";"NINA";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"c: grass";"fj.05";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"c: grass";"vs.18";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"c: grass";"vs.17, vs.38";"Butterfly abundance and diversity";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"c: grass";"vs.47";"Species richness of flying insects";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"c: grass";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"c: grass";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"c: grass";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"c: grass";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"c: grass";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"c: grass";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"c: grass";"vs.41b";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"c: grass";"vs.41c";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"c: grass";"vs.41d";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"c: grass";"vs.48";"Total insektsbiomasse";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"c: grass";"fj.03";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"c: grass";"fj.02";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"c: grass";"sk.10";"Store hjortedyr";"MDir & NINA";"1990";"1";"kommune";"B1a";"fb";"u";"mod"
"c: grass";"vs.16, vs.37";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"c: grass";"vs.45, vs.72";"Antall arter av pollinerende insekter";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"c: grass";"vs.50";"Antall arter møkkbiller";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"c: grass";"vs.05, vs.28";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc"
"c: grass";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"c: grass";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
