"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi";"i.description";"i.cpl";"i.comments.all"
"a: urban";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc";"The indicator is the deviation of the annual maximum NDVI value per MODIS pixel from a modelled ""reference value"" for that pixel. This is a two-sided indicator where values both lower and higher than the reference value may indicate degraded ecosystem condition.";"";"The normalisation (using pixelwise modelled reference states) as explained here is optimised for forests -- adaptation to other ETs might require further research ### d.temp.aggr: the instantaneous NDVI values definitely need some ""intra-annual aggregation"" to get a meaningful EC variable  IndiPri talks about ""annual max values""  TODO: explore & discuss what is being / can be done here ## r.opt: The raw NDVI values are ""pre-standardised"", using modelled NDVI values based on predicted PNV (Potential Natural Vegetation) forest subtypes (Hengl et al. 2018). Protected areas across Norway are used to define a reference NDVI state for each subtype, and data for NDVI (response) and climatic + edaphic (explanatory) variables in reference areas are used to train a Random Forest regression model. This model is used to predict potential NDVI (pNDVI) for each subtype outside of protected areas. The reference condition is then defined via the difference between the pNDVI and the observed NDVI (dNDVI). See https://github.com/NINAnor/pNDVI-nature-index for more details on data inputs.   The reference value is equivalent to the median dNDVI in protected areas of the region of interest (county or municipality)."
"a: urban";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer";"The indicator is the rate of increase in mean NDVI values per pixel for the growing season (June-Sep) over the period 2000-2019";"t";"This indicator does not fully comply with SEEA EA EC accounts (temporal reference: the value of the indicator should pertain (only) to the reference year/period) ### i.st: status is ""3"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## r.dir: NIBIO: any regression deviation from 0 is negativ ## r.opt: Reference value set to 0, i.e. no systematic change in NDVI over time"
"a: urban";"ur.01";"";"Copernicus*";"2006";"3";"~10 m";"A1";"af, lm";"n";"pol?";"Share of impervious surfaces";"e";"possibly meaningful for other ETs too (e.g. linked to cabin+road density) ### i.description: JRC quantified a second version of this var: impreviousness / inhabitant ## ect.s2: imperviousness (A1) & green cover (B2) are complementary hence highly collinear"
"a: urban";"ur.02";"";"Copernicus*";"2018";"3";"~10 m";"B2";"fs, lm";"p";"pol?";"Share of green surfaces in an urban ecosystem";"e";"highly correlated with imperviousness ### ect.s2: imperviousness (A1) & green cover (B2) are complementary hence highly collinear"
"a: urban";"ur.03";"";"Copernicus*";"2012";"3";"~10 m";"B2";"fs";"p";"pol?";"Tree cover density";"";"In several municipalities (e.g. Oslo) there are better local data sources ### "
"a: urban";"ur.04";"";"Copernicus*";"2018";"1";"kommune";"A2";"af";"n";"pol?";"Average annual particulate matter (PM2.5) concentration in urban ecosystems";"";"JRC report studies PM2.5 & PM10, but indicators for other pollutants are also possible (NO2, O3, SO2, CO), and NO data sources should be also examined. At an EU level the max monthly mean values seem to make a better indicator. ### d.startdate: CAMS predecessors (EMEP, EEA/AQ) go back to 2000 (NO data may go back even further...) ## d.temp.aggr: JRC also explores other options (max monthly mean, annual max), which may be more relevant"
"b: crop";"vs.18";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta";"Aggregated index for birds associated with agri environments";"";"EU-relevant; data from TOV-E (NINA/BirdLife) and 3Q (NIBIO) need to be merged ### n51: just lowland ## d.startdate: real agroecosystems possibly only from later? (based on 3Q) ## i.etlink: Hanno: If not merged with vs.13! Otherwise ""fo"""
"b: crop";"nb.12";"Organisk jordkarbon";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"p";"mod";"mean weight of SOC per hektar";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"b: crop";"nb.13";"C/N-forholdet i jord";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"u";"mod";"weight ratio of C to N";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"b: crop";"nb.19";"Andel med økologisk drift";"Ldir";;"1";"kommune";"B3";"fs, lm";"p";"zer";"proportion of cultivated area + innmarksbeite under ecological management";"r";"reporting as part of government support scheme ### "
"c: grass";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer";"The indicator is the proportion of the area without such alien species (i.e., 100% - total cover (%) of alien species).";"";" ### d.temp.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.dir: for historical reasons the indicator is the _inverted cover_ (absence) of invasies, which is thus positive. As the SEEA EA can nicely handle negative indicators, and the _cover_ of invasives gives a simpler & more intuitive indicator, it might make sense to use the simpler version in the future.  ## r.opt: The reference value is given as the complete absence of alien species, i.e., 100% of the area without alien species"
